CODIGOISIMP;AUTORIZACAO;DATAPUBLICACAO;RAZAOSOCIAL;CNPJ;ENDERECO;COMPLEMENTO;BAIRRO;CEP;UF;MUNICIPIO;DISTRIBUIDORA;DATAVINCULACAO;CLASSE
1165780;GLP/TO0201845;20/09/2010;DISTRIBUIDORA GAS LAR LTDA;04329828000149;R BERNARDINO MACIEL,  231;;CENTRO;77600000;TO;PARAISO DO TOCANTINS;LIQUIGAS;17/03/2011;1 AREA  - Classe V - NBR 15514
1156950;GLP/SP0182626;14/01/2010;J.S. TAVARES COMÉRCIO DE GÁS LTDA - ME;11167134000118;AVENIDA OLIMPIA,  590;;MARILIA;14780450;SP;BARRETOS;INDEPENDENTE;26/04/2018;1 AREA  - Classe III - NBR 15514
1159937;GLP/MG0184988;24/03/2010;JOSE EDMIR SERAFIM;11003034000156;RUA FREI ANDREONI,  340;;SALGADO FILHO;30550550;MG;BELO HORIZONTE;INDEPENDENTE;05/05/2016;1 AREA  - Classe III - NBR 15514
1158277;GLP/RJ0183469;17/02/2010;GIGLIO REVENDEDORA AUTORIZADA DE GAS LTDA;11094271000170;AVENIDA MARECHAL FONTENELLE,  5124;;MAGALHAES BASTOS;21750001;RJ;RIO DE JANEIRO;COPA ENERGIA;19/05/2025;1 AREA  - Classe IV - NBR 15514
1158982;GLP/RJ0184289;23/02/2010;INDUGÁS COMÉRCIO DE GÁS LTDA.;36197572000150;RUA ARISTIDES CAIRE,  S/N;QD. 99 - LT. 06;JARDIM OLAVO BILAC;25056070;RJ;DUQUE DE CAXIAS;INDEPENDENTE;04/07/2019;1 AREA  - Classe IV - NBR 15514
1179276;GLP/MT0211303;17/10/2011;MARCIO ALEXANDRE SIQUERI;01699426000229;RUA DEZ,  S/N;QUADRA 12  LOTE 230;SÃO SEBASTIÃO;78760000;MT;GUIRATINGA;SUPERGASBRAS ENERGIA;22/09/2011;1 AREA  - Classe II - NBR 15514
1171516;GLP/BA0206133;18/03/2011;BARREIRAS GAS LTDA;12732183000119;RUA   NOVA OLINDA,  549;B;VILA DULCE;47800310;BA;BARREIRAS;LIQUIGAS;23/05/2019;1 AREA  - Classe V - NBR 15514
1169537;GLP/MG0204785;17/01/2011;REINALDO VIANA NOGUEIRA;38460069000251;RUA CHIQUITO GERMANO,  18;;NOVO HORIZONTE;36592000;MG;CANAA;SUPERGASBRAS ENERGIA;08/02/2017;1 AREA  - Classe I - NBR 15514
1187693;GLP/SE0215526;19/06/2012;EDEILSON ARAUJO FRAGA - 01865035556;14558125000146;DT DO POVOADO IMBE,  15;LOJA;ZONA RURAL;49260000;SE;UMBAUBA;BAHIANA;24/04/2019;1 AREA  - Classe II - NBR 15514
1176359;GLP/SC0209681;04/08/2011;MERCADO PERETTI  LTDA ME;02646204000120;RUA PRESIDENTE JUSCELINO,  800;;CENTRO;89850000;SC;QUILOMBO;INDEPENDENTE;05/05/2016;1 AREA  - Classe I - NBR 15514
